124 0.000385 0.000385 0.000385
103 0.0002772 0.00034265 0.0003619 2 35 110  0 0 148 344 
104 0.00029645 7.315e-05 0.00031955 9 113 105 36 70 72 111 80 93 97  0 0 340 345 157 44 228 238 142 216 338 
105 0.00023485 8.47e-05 0.00030415 7 104 111 56 72 97 71 80  0 0 345 266 270 305 224 300 248 
106 0.00017325 0.0002464 0.00010395 7 81 99 121 78 120 77 119  0 0 123 267 327 317 166 315 350 
107 0.000308 0.00037345 0.0002695 6 38 0 121 110 118 28  0 1 192 134 135 352 163 50 
108 0.0002079 0.00025795 0.000231 10 110 121 112 74 43 68 109 89 59 111  0 0 348 349 351 177 183 175 353 331 126 162 
109 0.0001463 0.0002387 0.0002695 9 90 122 74 76 108 68 73 112 123  0 0 197 286 310 313 353 176 309 354 355 
110 0.0002618 0.00028105 0.0003311 9 108 112 107 103 18 90 35 121 111  0 0 348 346 352 344 74 99 155 138 356 
111 0.00034265 0.0002233 0.000308 8 105 0 104 108 93 121 76 110  0 1 266 31 238 162 171 254 295 356 
112 0.00015785 0.00031955 0.0002849 6 108 110 90 121 109 123  0 0 351 346 332 347 354 357 
113 0.00034265 2.31e-05 0.0002772 6 104 70 19 97 72 0  0 1 340 180 82 337 28 358 
114 0.00021945 0.0003465 3.08e-05 5 0 121 31 119 81  0 1 262 312 130 359 285 
115 2.31e-05 0.0002849 0.00036575 6 90 83 123 116 -1 122  1 0 333 314 322 265 6 360 
116 3.85e-05 8.855e-05 0.00034265 10 76 71 80 79 115 86 122 45 -1 84  1 0 302 301 173 320 265 328 361 219 5 325 
117 2.695e-05 0.0003234 0.0002002 5 -1 54 51 100 123  1 0 4 185 37 342 362 
118 0.0003542 0.00029645 0.0001617 8 0 38 119 107 89 23 9 121  0 1 212 191 105 163 76 87 48 363 
119 0.0002541 0.00026565 4.235e-05 11 121 4 94 118 114 31 0 81 75 106 120  0 1 303 55 195 105 359 84 255 269 194 350 364 
120 0.00023485 0.0002002 5.005e-05 7 48 99 39 121 106 78 119  0 0 188 245 115 158 166 167 364 
121 0.000231 0.0003542 0.00018865 20 108 93 51 119 107 27 114 106 120 112 123 31 4 13 110 111 89 23 8 118  0 0 349 159 221 303 135 81 312 327 158 347 365 101 56 69 138 254 263 42 59 363 
122 4.235e-05 0.00021945 0.0003234 10 109 73 44 16 34 116 -1 45 115 123  1 0 286 294 172 72 153 361 3 218 360 366 
123 6.545e-05 0.0003234 0.00025795 13 68 54 -1 73 83 100 115 16 121 109 112 117 122  1 0 122 43 2 100 324 136 322 71 365 355 357 362 366 
124 2.31e-05 4.62e-05 1.54e-05 1 -1  1 0 1 
